County,Total Population,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,12+ Population,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,18+ Population,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,65+ Population,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,522509.0,363170,69.5,431936.0,339488,78.60000000000001,385568.0,308312,80.0,55878.0,50807,90.9
Alamosa,16510.0,9458,57.3,13454.0,9081,67.5,12058.0,8397,69.6,2367.0,2130,90.0
Arapahoe,655580.0,473851,72.3,557474.0,440404,79.0,504478.0,402229,79.7,88592.0,79963,90.3
Archuleta,13802.0,8249,59.8,12367.0,8047,65.10000000000001,11459.0,7719,67.4,3822.0,3196,83.6
Baca,3487.0,1408,40.400000000000006,3031.0,1394,46.0,2796.0,1346,48.1,888.0,587,66.10000000000001
Bent,5723.0,1644,28.7,5267.0,1623,30.8,4970.0,1532,30.8,1428.0,510,35.7
Boulder,329789.0,265643,80.5,289956.0,245921,84.8,265779.0,226114,85.1,48807.0,48471,99.3
Broomfield,75361.0,58412,77.5,61262.0,53841,87.9,55296.0,48815,88.3,10213.0,10308,99.9
Chaffee,20095.0,13921,69.3,18234.0,13357,73.3,17080.0,12761,74.7,5391.0,4540,84.2
Cheyenne,1716.0,593,34.599999999999994,1533.0,581,37.9,1382.0,566,41.0,381.0,225,59.1
Clear Creek,9453.0,5327,56.39999999999999,8646.0,5155,59.6,8023.0,4929,61.4,2068.0,1225,59.2
Conejos,7581.0,4368,57.6,6787.0,4198,61.9,6070.0,3872,63.8,1643.0,1370,83.39999999999999
Costilla,3619.0,2358,65.2,3406.0,2282,67.0,3122.0,2155,69.0,1069.0,780,73.0
Crowley,6016.0,1329,22.1,5521.0,1307,23.7,5262.0,1253,23.8,866.0,451,52.1
Custer,5051.0,2518,49.9,4612.0,2497,54.1,4330.0,2443,56.39999999999999,1648.0,1216,73.8
Delta,31674.0,15099,47.7,27439.0,14821,54.0,25191.0,14230,56.49999999999999,8322.0,6322,76.0
Denver,711975.0,573027,80.5,632816.0,530258,83.8,590056.0,492623,83.5,87947.0,75221,85.5
Dolores,2130.0,794,37.3,1797.0,779,43.4,1635.0,758,46.400000000000006,557.0,292,52.400000000000006
Douglas,369287.0,270632,73.3,304085.0,249879,82.19999999999999,269550.0,225395,83.6,43892.0,44686,99.9
Eagle,55702.0,45622,81.89999999999999,47782.0,43262,90.5,43715.0,39699,90.8,6869.0,6362,92.6
El Paso,738534.0,409923,55.50000000000001,609441.0,390099,64.0,549016.0,359785,65.5,95375.0,82105,86.1
Elbert,27120.0,12123,44.7,23397.0,11701,50.0,21385.0,10989,51.4,4648.0,3021,65.0
Fremont,49636.0,21356,43.0,42687.0,20979,49.1,39859.0,20219,50.7,10559.0,8317,78.8
Garfield,62151.0,41356,66.5,50806.0,38906,76.6,45985.0,35582,77.4,8173.0,7539,92.2
Gilpin,5882.0,3746,63.7,5544.0,3603,65.0,5108.0,3412,66.8,1112.0,827,74.4
Grand,15835.0,9991,63.1,13900.0,9649,69.39999999999999,12766.0,9171,71.8,2925.0,2127,72.7
Gunnison,17293.0,12416,71.8,15414.0,11776,76.4,14188.0,11076,78.10000000000001,2437.0,2210,90.7
Hinsdale,779.0,530,68.0,738.0,515,69.8,677.0,493,72.8,267.0,211,79.0
Huerfano,6940.0,3981,57.4,6128.0,3905,63.7,5723.0,3782,66.10000000000001,2195.0,1721,78.4
Jackson,1359.0,638,46.9,1232.0,623,50.6,1123.0,599,53.3,337.0,226,67.10000000000001
Jefferson,579651.0,455243,78.5,508992.0,426221,83.7,467388.0,396574,84.8,99332.0,95923,96.6
Kiowa,1452.0,522,36.0,1191.0,516,43.3,1095.0,496,45.3,335.0,214,63.9
Kit Carson,6923.0,2719,39.3,6007.0,2665,44.4,5458.0,2522,46.2,1164.0,962,82.6
La Plata,56280.0,39123,69.5,49629.0,37069,74.7,45313.0,34634,76.4,10210.0,9523,93.3
Lake,7392.0,4962,67.10000000000001,6881.0,4770,69.3,6190.0,4450,71.89999999999999,1223.0,813,66.5
Larimer,362773.0,251547,69.3,309784.0,236909,76.5,284131.0,220753,77.7,58490.0,54556,93.3
Las Animas,14637.0,8913,60.9,12714.0,8702,68.4,11723.0,8249,70.39999999999999,3701.0,3032,81.89999999999999
Lincoln,5669.0,2127,37.5,4913.0,2081,42.4,4553.0,1991,43.7,1044.0,685,65.60000000000001
Logan,21441.0,8709,40.6,19241.0,8573,44.6,17765.0,8196,46.1,3798.0,2786,73.4
Mesa,157320.0,81345,51.7,133045.0,78797,59.2,121065.0,74359,61.4,30594.0,25147,82.19999999999999
Mineral,930.0,655,70.39999999999999,686.0,625,91.1,647.0,611,94.4,271.0,262,96.7
Moffat,13160.0,5866,44.6,11081.0,5714,51.6,9851.0,5397,54.8,2156.0,1499,69.5
Montezuma,26226.0,14221,54.2,22405.0,13622,60.8,20357.0,12863,63.2,5956.0,4820,80.9
Montrose,43178.0,22251,51.5,37085.0,21594,58.2,33523.0,20497,61.1,10174.0,8210,80.7
Morgan,28982.0,14537,50.2,23798.0,14098,59.2,21310.0,13172,61.8,4840.0,3464,71.6
Otero,18556.0,9247,49.8,15435.0,8990,58.2,13894.0,8544,61.5,3823.0,2928,76.6
Ouray,5048.0,3534,70.0,4450.0,3378,75.9,4134.0,3200,77.4,1365.0,1133,83.0
Park,17720.0,9377,52.900000000000006,16857.0,9136,54.2,15624.0,8750,56.00000000000001,4061.0,2560,63.0
Phillips,4496.0,2291,51.0,3629.0,2250,62.0,3264.0,2166,66.4,1003.0,769,76.7
Pitkin,17329.0,14740,85.1,16204.0,14006,86.4,15249.0,13174,86.4,3720.0,2851,76.6
Prowers,11978.0,5240,43.7,10024.0,5108,51.0,8924.0,4795,53.7,2165.0,1510,69.69999999999999
Pueblo,169503.0,99255,58.6,144823.0,96007,66.3,131053.0,89827,68.5,32020.0,27386,85.5
Rio Blanco,6463.0,2372,36.7,5354.0,2319,43.3,4827.0,2199,45.6,1063.0,797,75.0
Rio Grande,11399.0,7553,66.3,9525.0,7243,76.0,8569.0,6755,78.8,2356.0,2315,98.3
Routt,25099.0,20280,80.80000000000001,22454.0,19053,84.89999999999999,20531.0,17665,86.0,4129.0,3937,95.3
Saguache,6506.0,2721,41.8,5852.0,2679,45.8,5311.0,2540,47.8,1664.0,904,54.3
San Juan,736.0,699,95.0,661.0,652,98.6,613.0,623,99.9,199.0,156,78.4
San Miguel,8080.0,6700,82.89999999999999,7120.0,6360,89.3,6503.0,5888,90.5,1258.0,1038,82.5
Sedgwick,2331.0,1160,49.8,1948.0,1149,59.0,1797.0,1105,61.5,613.0,498,81.2
Summit,30970.0,25673,82.89999999999999,28057.0,24536,87.5,26562.0,23048,86.8,4335.0,3656,84.3
Teller,24919.0,13798,55.400000000000006,22665.0,13508,59.6,20954.0,12874,61.4,5854.0,4618,78.9
Washington,4860.0,1619,33.300000000000004,4093.0,1601,39.1,3757.0,1548,41.2,1007.0,605,60.1
Weld,340131.0,204497,60.1,268938.0,193296,71.89999999999999,240633.0,176786,73.5,40345.0,36894,91.4
Yuma,9945.0,4480,45.0,8253.0,4340,52.6,7382.0,4115,55.7,1818.0,1364,75.0
