County,Total Population,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,12+ Population,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,18+ Population,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,65+ Population,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,522509,363170,69.5,431936,339488,78.60000000000001,385568,308312,80,55878,50807,90.9
Alamosa,16510,9458,57.3,13454,9081,67.5,12058,8397,69.6,2367,2130,90
Arapahoe,655580,473851,72.3,557474,440404,79,504478,402229,79.7,88592,79963,90.3
Archuleta,13802,8249,59.8,12367,8047,65.10000000000001,11459,7719,67.4,3822,3196,83.6
Baca,3487,1408,40.400000000000006,3031,1394,46,2796,1346,48.1,888,587,66.10000000000001
Bent,5723,1644,28.7,5267,1623,30.8,4970,1532,30.8,1428,510,35.699999999999996
Boulder,329789,265643,80.5,289956,245921,84.8,265779,226114,85.1,48807,48471,99.3
Broomfield,75361,58412,77.5,61262,53841,87.9,55296,48815,88.3,10213,10308,99.9
Chaffee,20095,13921,69.3,18234,13357,73.3,17080,12761,74.7,5391,4540,84.2
Cheyenne,1716,593,34.599999999999994,1533,581,37.9,1382,566,41,381,225,59.099999999999994
Clear Creek,9453,5327,56.39999999999999,8646,5155,59.599999999999994,8023,4929,61.4,2068,1225,59.199999999999996
Conejos,7581,4368,57.599999999999994,6787,4198,61.9,6070,3872,63.800000000000004,1643,1370,83.39999999999999
Costilla,3619,2358,65.2,3406,2282,67,3122,2155,69,1069,780,73
Crowley,6016,1329,22.1,5521,1307,23.7,5262,1253,23.799999999999997,866,451,52.1
Custer,5051,2518,49.9,4612,2497,54.1,4330,2443,56.39999999999999,1648,1216,73.8
Delta,31674,15099,47.699999999999996,27439,14821,54,25191,14230,56.49999999999999,8322,6322,76
Denver,711975,573027,80.5,632816,530258,83.8,590056,492623,83.5,87947,75221,85.5
Dolores,2130,794,37.3,1797,779,43.4,1635,758,46.400000000000006,557,292,52.400000000000006
Douglas,369287,270632,73.3,304085,249879,82.19999999999999,269550,225395,83.6,43892,44686,99.9
Eagle,55702,45622,81.89999999999999,47782,43262,90.5,43715,39699,90.8,6869,6362,92.60000000000001
El Paso,738534,409923,55.50000000000001,609441,390099,64,549016,359785,65.5,95375,82105,86.1
Elbert,27120,12123,44.7,23397,11701,50,21385,10989,51.4,4648,3021,65
Fremont,49636,21356,43,42687,20979,49.1,39859,20219,50.7,10559,8317,78.8
Garfield,62151,41356,66.5,50806,38906,76.6,45985,35582,77.4,8173,7539,92.2
Gilpin,5882,3746,63.7,5544,3603,65,5108,3412,66.8,1112,827,74.4
