section,category,metric,type,date,value
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,1117173
State Data,Cumulative counts to date,Cumulative Doses Distributed,All COVID Vaccines,NA,1114900
State Data,Cumulative counts to date,People Immunized with One Dose,NA,NA,767803
State Data,Cumulative counts to date,People Immunized with Two Doses,NA,NA,348031
State Data,Cumulative counts to date,Total Vaccine Providers,NA,NA,835
State Metrics,Vaccinations,Immunized Yesterday,Moderna,NA,12741
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,NA,-321
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,NA,9744
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,NA,-1901
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,NA,3
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,NA,2
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,NA,0
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,NA,0
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,NA,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-14,192
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-14,191
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-14,192
Vaccine Administration,Administration,Daily,Pfizer,2020-12-14,191
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-15,417
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-15,412
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-15,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-15,225
Vaccine Administration,Administration,Daily,Pfizer,2020-12-15,221
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-15,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-16,4208
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-16,4198
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-16,3791
Vaccine Administration,Administration,Daily,Pfizer,2020-12-16,3786
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-17,16391
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-17,16379
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-17,1
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-17,12183
Vaccine Administration,Administration,Daily,Pfizer,2020-12-17,12181
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-17,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-18,28596
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-18,28580
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-18,1
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-18,12205
Vaccine Administration,Administration,Daily,Pfizer,2020-12-18,12201
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-18,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-19,34063
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-19,34043
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-19,1
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-19,5467
Vaccine Administration,Administration,Daily,Pfizer,2020-12-19,5463
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-19,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-20,36936
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-20,8
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-20,36906
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-20,3
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-20,70915
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-20,19620
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-20,51267
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-20,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-20,2873
Vaccine Administration,Administration,Daily,Moderna,2020-12-20,8
Vaccine Administration,Administration,Daily,Pfizer,2020-12-20,2863
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-20,2
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-20,36852
Vaccine Administration,Administration,Weekly,Moderna,2020-12-20,19620
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-20,17224
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-20,8
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2020-12-20,199775
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2020-12-20,128600
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2020-12-20,71175
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2020-12-20,45675
Vaccine Administration,Distribution,Weekly,Moderna,2020-12-20,33000
Vaccine Administration,Distribution,Weekly,Pfizer,2020-12-20,12675
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-21,42392
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-21,37
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-21,42337
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-21,3
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-21,5456
Vaccine Administration,Administration,Daily,Moderna,2020-12-21,29
Vaccine Administration,Administration,Daily,Pfizer,2020-12-21,5431
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-21,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-22,49961
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-22,3652
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-22,46289
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-22,5
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-22,7569
Vaccine Administration,Administration,Daily,Moderna,2020-12-22,3615
Vaccine Administration,Administration,Daily,Pfizer,2020-12-22,3952
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-22,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-23,64228
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-23,14046
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-23,50168
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-23,8
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-23,14267
Vaccine Administration,Administration,Daily,Moderna,2020-12-23,10394
Vaccine Administration,Administration,Daily,Pfizer,2020-12-23,3879
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-23,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-24,68332
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-24,17441
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-24,50876
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-24,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-24,4104
Vaccine Administration,Administration,Daily,Moderna,2020-12-24,3395
Vaccine Administration,Administration,Daily,Pfizer,2020-12-24,708
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-24,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-25,68345
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-25,17454
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-25,50876
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-25,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-25,13
Vaccine Administration,Administration,Daily,Moderna,2020-12-25,13
Vaccine Administration,Administration,Daily,Pfizer,2020-12-25,0
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-25,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-26,70902
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-26,19620
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-26,51267
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-26,9
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-26,2557
Vaccine Administration,Administration,Daily,Moderna,2020-12-26,2166
Vaccine Administration,Administration,Daily,Pfizer,2020-12-26,391
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-26,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-27,72928
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-27,21403
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-27,51510
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-27,9
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-27,122624
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-27,53587
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-27,68998
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-27,20
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-27,2026
Vaccine Administration,Administration,Daily,Moderna,2020-12-27,1783
Vaccine Administration,Administration,Daily,Pfizer,2020-12-27,243
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-27,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-27,51709
Vaccine Administration,Administration,Weekly,Moderna,2020-12-27,33967
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-27,17731
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-27,11
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2020-12-27,267400
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2020-12-27,146500
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2020-12-27,120900
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2020-12-27,67625
Vaccine Administration,Distribution,Weekly,Moderna,2020-12-27,17900
Vaccine Administration,Distribution,Weekly,Pfizer,2020-12-27,49725
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-28,81838
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-28,28115
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-28,53705
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-28,12
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-28,8910
Vaccine Administration,Administration,Daily,Moderna,2020-12-28,6712
Vaccine Administration,Administration,Daily,Pfizer,2020-12-28,2195
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-28,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-29,90884
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-29,35325
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-29,55539
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-29,14
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-29,9046
Vaccine Administration,Administration,Daily,Moderna,2020-12-29,7210
Vaccine Administration,Administration,Daily,Pfizer,2020-12-29,1834
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-29,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-30,106209
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-30,45299
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-30,60888
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-30,16
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-30,15325
Vaccine Administration,Administration,Daily,Moderna,2020-12-30,9974
Vaccine Administration,Administration,Daily,Pfizer,2020-12-30,5349
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-30,2
