section,category,metric,type,date,value,publish_date
State Data,Cumulative counts to date,Total Vaccine Providers,All COVID Vaccines,NA,2119,2022-12-30
State Data,Cumulative counts to date,People Immunized With One Dose,All COVID Vaccines,NA,4490720,2022-12-30
State Data,Cumulative counts to date,Eligible People Immunized With One Dose,All COVID Vaccines,NA,0.8,2022-12-30
State Data,Cumulative counts to date,People Fully Immunized,All COVID Vaccines,NA,4089176,2022-12-30
State Data,Cumulative counts to date,Eligible People Fully Immunized,All COVID Vaccines,NA,0.7,2022-12-30
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,12395728,2022-12-30
State Data,Cumulative counts to date,1+ Booster,All COVID Vaccines,NA,2277434,2022-12-30
State Data,Cumulative counts to date,2+ Booster,All COVID Vaccines,NA,1075777,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 0-4,NA,0.1,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 0-4,NA,0.1,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 0-4,NA,0,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 12-17,NA,0.6,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 12-17,NA,0.6,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 12-17,NA,0.2,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 12+,NA,0.9,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 12+,NA,0.8,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 12+,NA,0.3,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 18+,NA,0.9,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 18+,NA,0.8,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 18+,NA,0.3,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 5-11,NA,0.4,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 5-11,NA,0.3,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 5-11,NA,0.2,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 5+,NA,0.8,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 5+,NA,0.7,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 5+,NA,0.3,2022-12-30
State Data,Vaccination Rates,At Least One Dose,Ages 65+,NA,1.1,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,Ages 65+,NA,1,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 65+,NA,0.5,2022-12-30
State Data,Vaccination Rates,At Least One Dose,All Ages,NA,0.8,2022-12-30
State Data,Vaccination Rates,Completed Primary Series,All Ages,NA,0.7,2022-12-30
State Data,Vaccination Rates,Completed Series + Omicron Dose,All Ages,NA,0.3,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-12T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-13T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-14T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-15T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-16T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-17T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-18T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-19T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-20T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-21T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-22T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-23T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-24T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-25T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-26T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-27T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-28T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-29T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-30T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-31T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-01T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-02T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-03T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-04T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-05T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-06T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-07T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-08T00:00:00Z,0,2022-12-30
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2021-01-09T00:00:00Z,0,2022-12-30
