Unique Counties,Lat,Lon
Adams,39.873642,-104.337907
Alamosa,37.572892,-105.788287
Arapahoe,39.649767,-104.339293
Archuleta,37.1936,-107.048339
Baca,37.319214,-102.560435
Bent,37.955091,-103.071675
Boulder,40.092475,-105.357725
Broomfield,39.95413,-105.05266
Chaffee,38.746895,-106.194059
Cheyenne,38.827933,-102.603382
Clear Creek,39.689047,-105.644366
Conejos,37.200686,-106.191668
Costilla,37.278098,-105.428287
Crowley,38.326675,-103.78484
Custer,38.108682,-105.367476
Delta,38.861346,-107.862903
Denver,39.76204,-104.87635
Dolores,37.751606,-108.517203
Douglas,39.32975,-104.929509
Eagle,39.62783,-106.695289
El Paso,38.832095,-104.52554
Elbert,39.28655,-104.135883
Fremont,38.473065,-105.439526
Garfield,39.599308,-107.903962
Gilpin,39.857522,-105.522601
Grand,40.102609,-106.11836
Gunnison,38.666803,-107.031728
Hinsdale,37.821345,-107.300311
Huerfano,37.684685,-104.96058
Jackson,40.666436,-106.342808
Jefferson,39.586364,-105.250489
Kiowa,38.432679,-102.740375
Kit Carson,39.305439,-102.602882
La Plata,37.286582,-107.843355
Lake,39.202374,-106.344823
Larimer,40.66642,-105.461166
Las Animas,37.315849,-104.038689
Lincoln,38.988067,-103.513956
Logan,40.724684,-103.110088
Mesa,39.018285,-108.466463
Mineral,37.668997,-106.924096
Moffat,40.618429,-108.2073
Montezuma,37.338404,-108.596752
Montrose,38.40219,-108.269381
Morgan,40.262719,-103.809819
Otero,37.902715,-103.716461
Ouray,38.155458,-107.769311
Park,39.119327,-105.717187
Phillips,40.593882,-102.357565
Pitkin,39.217098,-106.916572
Prowers,37.955185,-102.393332
Pueblo,38.173421,-104.512857
Rio Blanco,39.979851,-108.217214
Rio Grande,37.582518,-106.383192
Routt,40.485065,-106.9912
Saguache,38.080555,-106.281554
San Juan,37.764037,-107.676143
San Miguel,38.003754,-108.405897
Sedgwick,40.875894,-102.351768
Summit,39.634155,-106.11637
Teller,38.882409,-105.161791
Washington,39.97105,-103.201271
Weld,40.55484,-104.39252
Yuma,40.002918,-102.424244
