section,category,metric,type,date,value,publish_date
State Data,Cumulative counts to date,Total Vaccine Providers,All COVID Vaccines,NA,2154,2023-05-09
State Data,Cumulative counts to date,People Immunized With One Dose,All COVID Vaccines,NA,4527145,2023-05-09
State Data,Cumulative counts to date,Eligible People Immunized With One Dose,All COVID Vaccines,NA,0.787,2023-05-09
State Data,Cumulative counts to date,People Fully Immunized,All COVID Vaccines,NA,4114705,2023-05-09
State Data,Cumulative counts to date,Eligible People Fully Immunized,All COVID Vaccines,NA,0.715,2023-05-09
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,12634279,2023-05-09
State Data,Cumulative counts to date,1+ Booster,All COVID Vaccines,NA,2326372,2023-05-09
State Data,Cumulative counts to date,2+ Booster,All COVID Vaccines,NA,1154050,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 0-4,NA,0.159,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 0-4,NA,0.126,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 0-4,NA,0.091,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 12-17,NA,0.601,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 12-17,NA,0.543,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 12-17,NA,0.215,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 12+,NA,0.866,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 12+,NA,0.79,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 12+,NA,0.291,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 18+,NA,0.892,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 18+,NA,0.815,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 18+,NA,0.296,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 5-11,NA,0.382,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 5-11,NA,0.331,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 5-11,NA,0.232,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 5+,NA,0.823,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 5+,NA,0.749,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 5+,NA,0.289,2023-05-09
State Data,Vaccination Rates,At Least One Dose,Ages 65+,NA,1.101,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,Ages 65+,NA,1.031,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,Ages 65+,NA,0.492,2023-05-09
State Data,Vaccination Rates,At Least One Dose,All Ages,NA,0.787,2023-05-09
State Data,Vaccination Rates,Completed Primary Series,All Ages,NA,0.715,2023-05-09
State Data,Vaccination Rates,Completed Series + Omicron Dose,All Ages,NA,0.287,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-12T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-13T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-14T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-15T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-16T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-17T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-18T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-19T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-20T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-21T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-22T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-23T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-24T00:00:00Z,0,2023-05-09
Vaccine Administration,Administration,Daily Counts,"Additional & Booster Doses, Janssen",2020-12-25T00:00:00Z,0,2023-05-09
